SURNAME,TRIBE/ETHNIC GROUP,RA Confidence Level
ABIBU,swahili,1
ABICA,luhya,2
ABICH,luo,3
ABIDU,luhya,1
ABIERO,luo,3
ABIKAR,muslim,3
ABIL,luo,3
ABILLAH,luo,3
ABINCHA,luhya,3
ABIRA,luhya,1
ABISAI,luo,3
ABISALOM,christian,3
ABISOLOM,christian,3
ABITON,taita,1
ABIYA,luo,1
ABOGO,luo,1
ABOKA,luo,1
ABOKE,luo,3
ABOKI,luhya,3
ABOKO,luhya,2
ABOLO,luo,3
ABOM,luo,1
ABOMA,luhya,3
ABOMBA,luhya,3
ABON'G,luo,1
ABONG,luo,3
ABONGA,luo,3
ABONGOTUM,,
ABONGULE,luhya,2
ABONYO,luo,2
ABOOK,luo,3
ABORO,luo,3
ABOTH,luo,3
ABOTO,luo,2
ABOULLAHI,muslim,3
ABOVA,luhya,2
ABRAHAM,christian,3
ABRAHIM,christian,3
ABRANCHES,exotic,3
ABRORO,luo,3
ABSALOM,christian,3
ABSIHI,luhya,1
ABUCHELI,luo,2
ABUCHERI,luo,2
ABUD,arab,3
ABUDHO,luo,1
ABUDO,luo,3
ABUGA,luo,3
ABUGAH,luhya,3
ABUGO,kisii,1
ABUGON,basuba,2
ABUHEBWA,luhya,3
ABUKALE,luhya,3
ABUKO,luhya,1
ABUKULA,luhya,2
ABUKUTSA,luhya,1
ABULALA,luhya,3
ABULAMUSI,luhya,3
ABULI      ',luhya,3
ABULI',swahili,2
ABULWA,luhya,1
ABUNA,luo,3
ABUNDA,luo,1
ABUNER,christian,3
ABUNG'ANA,luhya,3
ABUNGANA,luhya,3
ABUNO,luo,3
ABUNYAKHU,luhya,2
ABUO,luo,3
ABUODHA,luo,3
ABUOM,luo,3
ABUONJI,luhya,1
ABUOR    KK,luo,3
ABUORA,luo,2
ABUORO,kisii,1
ABURA,luo,3
ABURA         I,luo,3
ABUREBE,luhya,3
ABURU,luo,3
ABURUKI,luhya,1
ABUSHIR,muslim,3
ABUSHIRA,luhya,3
ABUSO,luo,1
ABUTA,luo,2
ABUTI,kisii,1
ABUTIKA,luo,2
ABUTO,luo,3
ABUTSIE,luhya,3
ABUTTO,luo,3
ABUTU,luhya,1
ABUWO,luo,2
ABUYA,luhya,3
ABUYABO,luhya,3
ABUYEKA,luhya,3
ABWACHI,luhya,3
ABWALABA,luhya,3
ABWAMBA,luhya,2
ABWAO',luo,1
ABWASI,luhya,3
ABWATA,luhya,2
ABWAZA,luhya,3
ABWILE,luhya,2
ABWIRE,luhya,3
ABWOR,luo,3
ABWORO,luo,3
ABWOTO,luo,3
ABWOVAS,luhya,2
ABYSHAI,luhya,3
ACHACH,turkana,1
ACHACHI,luhya,3
ACHAGA,luhya,2
ACHAM,luo,3
ACHANDO,luo,1
ACHANJO,luhya,3
ACHAO,luo,1
ACHAPAH,luhya,3
ACHATCH,luo,3
ACHAU,mijikenda,3
ACHAYO,luhya,3
ACHEGA,luhya,3
ACHEHA,luhya,3
ACHEIYA,luhya,3
ACHELER,turkana,2
ACHELO,luo,3
ACHERO,luhya,2
ACHESA,luhya,2
ACHEVI,mijikenda,2
ACHIANDO,luo,2
ACHICH,luo,3
ACHIDO,turkana,1
ACHIEGO,luo,3
ACHIEN'G,luo,3
ACHIENG,luo,3
ACHIENGE,luo,3
ACHIKI,turkana,1
ACHILLAH,luo,3
ACHITSA,luhya,2
ACHIYA,luo,2
ACHOCHI,luo,2
ACHOCK,luo,3
ACHODI,luo,2
ACHODO,luo,3
ACHOK,luo,2
ACHOKA,luo,2
ACHOKI,kisii,3
ACHOKO,kisii,2
ACHOKORR,turkana,1
ACHOLAH,luo,2
ACHOLLA,luo,3
ACHONGA,luo,2
ACHONGI,luo,1
ACHONO,luo,1
ACHORIA,luo,3
ACHOTE,luo,1
ACHUCH,luo,3
ACHUMA,luhya,3
ACHUNGA,luo,2
ACHUNGO,luo,3
ACHUNY,luo,3
ACHUODHO,luo,3
ACHUTI,luo,1
ACHWAL,luo,3
ACHWANG'A,kisii,3
ACHWANYA,luhya,2
ACHWARI,kisii,2
ADAHA,luhya,2
ADAJI,luhya,3
ADAKA,luhya,3
ADALA,luo,3
ADAM,,
ADAMALI,luhya,3
ADAMJEE,indian,3
ADAMS,christian,3
ADANAA,luo,2
ADANO,gabra,3
ADAPALEM,teso,3
ADARI,kisii,3
ADAVA,luhya,3
ADBULREHMAN,muslim,3
ADDAN,arab,3
ADECK,turkana,1
ADEGO,luhya,2
ADEI,luhya,3
ADEK,luo,1
ADEKAH,luhya,3
ADEKE,luhya,1
ADEKHELA,luhya,3
ADEKO,kisii,3
ADEL,luo,3
ADELAIDE,christian,3
ADELI,luhya,3
ADEM,luo,3
ADEMA,luhya,3
ADEMBESA,kisii,3
ADEMBESAH,luhya,3
ADEMI,luhya,1
ADEN,somali,3
ADENDI,luhya,3
ADENGE,luhya,1
ADENY,luo,3
ADENYI,,
ADENYO,luo,3
ADERA,luo,3
ADEREKHA,luhya,3
ADERI,luhya,3
ADERO,luo,1
ADETA,luhya,3
ADEWA,teso,3
ADHAN,muslim,3
ADHANJA,luo,3
ADHAWO,luo,3
ADHIAM O,luo,3
ADHIAMBO,luo,3
ADHINGA,luo,3
ADHOLA,luo,3
ADHOLLA,luo,2
ADHUONGO,luo,3
ADIADOH,luo,2
ADIANG',luo,3
ADIBA,luo,2
ADIDA,luo,3
ADIDI,luhya,2
ADIEDO,luo,3
ADIENGE,luo,1
ADIENO,luhya,1
ADIGA,luhya,3
ADIJA,muslim,3
ADINDA,luo,3
ADINGO,teso,2
ADIONYI,luo,1
ADIPO,luo,3
ADIRA,samburu,1
ADISA,luhya,3
ADISOOMO,teso,1
ADIYA,luo,3
ADIYO,luo,3
ADOGA,luo,1
ADOKOGH,teso,3
ADOLI,luhya,3
ADOLI',luo,1
ADOLO,luo,3
ADOLWA,luhya,3
ADOMEMOI,teso,3
ADOMO,teso,1
ADOMOKWANG,turkana,2
ADOMONGURA,teso,3
ADONGO,luo,3
ADORA,luhya,2
ADORI,luhya,3
ADORO,luo,1
ADORWA,luhya,3
ADOYO,luo,3
ADUGO,luo,1
ADUI,swahili,3
ADUKA,teso,2
ADUL,luo,3
ADULO,luo,3
ADUM,luo,2
ADUNDA,luo,1
ADUNDI,luhya,2
ADUNDO,luo,3
ADUNGO,teso,3
ADUNGU,luhya,3
ADUO,luo,3
ADUOGO,luhya,2
ADUOL,luo,3
ADUORI,luo,2
ADUOTI,luo,1
ADUR,somali,1
ADUVUKA,luhya,3
ADUVUKHA,luhya,3
ADUWO,luo,3
ADUYO,luo,2
ADWAR,turkana,2
ADWOGO,luo,3
AELA,luo,2
AENCHA,kisii,3
AENGWONY,luo,1
AERINE,christian,2
AERO,luo,3
AFAMBA,luhya,2
AFANDE,luhya,1
AFARAH,luhya,1
AFEE,turkana,1
AFEY,somali,3
AFUBWA,luhya,3
AFUKAME,luhya,3
AFULA,luhya,2
AFWANDA,luhya,3
AFWANDE,luhya,2
AFWANDI,luhya,3
AFWATA,luhya,1
AGABO,luhya,2
AGACHE,teso,2
AGAI,luo,2
AGAKI,luo,2
AGAL,luo,3
AGALA,luhya,3
AGALI,luhya,2
AGALLOH,luo,2
AGALOMBA,luhya,2
AGAMERA,luhya,3
AGAN,luo,1
AGANDI,luo,1
AGANYA,luhya,2
AGANYANYA,teso,1
AGANYO,luo,3
AGAO,luo,3
AGAROMBA,luhya,1
AGAYA          A,luo,3
AGEMBO,luhya,1
AGENG'O,luo,3
AGENGA,luo,3
AGENGO,luo,3
AGER,luo,3
AGESO,luhya,2
AGEYO,luo,3
AGIGE,luo,3
AGILA,luo,3
AGINGA,luhya,3
AGINGU,luo,3
AGIRON,turkana,1
AGISA,kisii,1
AGISO,kisii,1
AGIT,luo,1
AGIZO,teso,2
AGNATA,christian,3
AGNES,christian,3
AGOGO,luhya,1
AGOKO,kisii,2
AGOLAH,luo,3
AGOLLA,luo,3
AGOLLAH,luo,3
AGON'G,luo,3
AGONG,turkana,2
AGONG',luo,3
AGONGO,kisii,3
AGORO,luo,3
AGOSA,luhya,2
AGOT,luo,3
AGOYA,luo,3
AGOYE,luo,1
AGREY,christian,3
AGRIPINA,christian,3
AGUDHO,luo,3
AGUFA,luhya,3
AGUFA',luhya,3
AGUFANA,luhya,3
AGULA,luo,3
AGULO,luo,3
AGUMBA,kisii,1
AGUNDO,luo,2
AGUNG,luo,2
AGUNGA,kisii,1
AGUNGOD,luo,3
AGUNJA,luo,3
AGUNYA,luo,1
AGURA,luo,2
AGUSIOMA,luhya,3
AGUTA,,
AGUTU,luo,3
AGUVASU,luhya,3
AGUYA,luhya,3
AGUYO,luo,3
AGWAMBO,luo,3
AGWANDA,luhya,1
AGWARA,luo,3
AGWARO,luo,3
AGWATA,luo,3
AGWAYA,luo,3
AGWAYO,luhya,3
AGWEDE,luo,1
AGWENA,luhya,2
AGWENGE,basuba,1
AGWERA,luo,2
AGWINGI,luo,3
AGWOMA,luo,2
AGWUMA,luhya,2
AHALI,luhya,2
AHALO,luo,3
AHAMBO,luhya,1
AHANGA,luhya,2
AHAWO,luhya,1
AHINDA,luo,1
AHMAD,muslim,3
AHMEDD,muslim,3
AHOLI,luhya,2
AHONDO,luhya,2
AHOOL,luo,1
AHULA,luo,2
AHUTA,luhya,2
AHUYA,luhya,3
AIDA,christian,3
AIDAH,luhya,3
AIDAN,somali,3
AIKO,luo,1
AIKONA,luhya,1
AILA,luo,3
AIMATA,teso,2
AIMBA,luhya,2
AIMO,luo,2
AIMOI,teso,2
AINEAH,gabra,1
AIPA,teso,2
AIRA,luhya,3
AIRO,luo,3
AISHA,nubi,2
AJALI,swahili,3
AJAMBA,luhya,3
AJEGA,luhya,2
AJEGAH,luhya,2
AJENGA,luhya,2
AJENGE,luo,3
AJIGO,luo,2
AJIMA,luhya,2
AJIVA,luo,3
AJONG'O,teso,3
AJONGO,turkana,1
AJOWI,luhya,3
AJUAGA,,
AJUALA,luhya,3
AJUK,turkana,3
AJULU,teso,2
AJUOGA,luo,3
AJWALA,luo,1
AJWAN'G,luo,3
AJWANG',luo,3
AKACHA,luhya,3
AKADELI,luhya,1
AKAI,luhya,2
AKAKA,luhya,3
AKAKI,luhya,3
AKAL,luo,1
AKALA,luo,3
AKALEKAN,teso,2
AKALIBA,luhya,1
AKALO,luhya,3
AKANA,luhya,2
AKANGA,luhya,3
AKANOTI,luhya,3
AKANYO,luo,1
AKARUNGU,luhya,1
AKASA,kisii,2
AKATCH,luo,3
AKATHA,luhya,3
AKATO,luhya,3
AKATSA,luhya,3
AKAYI,turkana,2
AKECHI,luhya,2
AKEDE,luo,2
AKEDI,luhya,3
AKELLO,luo,3
AKELO,luo,2
AKENDO,luo,3
AKENG'A,kisii,3
AKENG'O,luo,3
AKENGA,kisii,2
AKERU,luo,2
AKETCH,luo,3
AKETHI,embu,2
AKEYE,luo,1
AKEYO,luo,3
AKHABALE,luhya,1
AKHAENDA,luhya,3
AKHAINGA,luhya,2
AKHAMABE,luhya,3
AKHANYINYA,luhya,2
AKHATSIKA,luhya,2
AKHENDA,luhya,3
AKHOKO,luhya,3
AKHOYI,luhya,3
AKHULE,luhya,3
AKHULO,luhya,2
AKHULUNYA,luhya,3
AKHUMBI,luhya,3
AKHURA,luhya,1
AKHUSEMA,luhya,2
AKHUYO,luhya,2
AKHWALE,luhya,2
AKHWESA,luhya,3
AKIBA,swahili,3
AKIDA,luhya,2
AKIDIVA,luhya,1
AKIDOKI,teso,2
AKIDOR,turkana,3
AKIKO,luo,1
AKIMAT,teso,2
AKINGA,luhya,3
AKINYI,luo,3
AKIRAPA,turkana,2
AKIRI,luo,2
AKISO,luo,1
AKITALA,luhya,3
AKIVAGA,luhya,2
AKIVAMBO,luhya,1
AKODHE,luo,3
AKOITI,teso,1
AKOKOTHI,luo,3
AKOL,luo,1
AKOLIA,luhya,3
AKOLON,luo,1
AKOLONYO,luhya,3
AKOMBO,luhya,3
AKONDO,luo,3
AKONG'O,luo,3
AKONGO,luo,2
AKOO,luo,2
AKOOLO,luo,1
AKOPE,swahili,1
AKOPELIM,teso,2
AKOPETUM,kalenjin,3
AKORO,luo,3
AKOSENGWA,luhya,3
AKOTCH,luhya,3
AKOTH,luo,3
AKOTHA,luhya,1
AKOTUKAN,turkana,2
AKOU,teso,2
AKOYA,luhya,3
AKOYO,luo,3
AKOZA,luhya,3
AKUANA,luhya,1
AKUCHE,luo,3
AKUDO,luo,3
AKUDOKI,kisii,3
AKUKU,kisii,2
AKULA,luhya,3
AKULA',luhya,3
AKULEU,teso,2
AKULINDA,luhya,2
AKULOBA,luhya,2
AKUMU,luo,3
AKUNGA,luo,1
AKUNGO,luo,2
AKUNGWI,luhya,3
AKUNO,luo,3
AKUNYA,luhya,3
AKUNYUKU,luhya,1
AKUOM,luo,3
AKURA,luo,2
AKURIOW,turkana,1
AKURUBONG,massai,3
AKUSALA,luhya,3
AKUSSO,luhya,2
AKUTA,luo,2
AKUTAN,turkana,1
AKUTOYI,luhya,3
AKWAH,luo,2
AKWAKINE,luhya,1
AKWAKO,luo,1
AKWAMU,luhya,2
AKWANALO,luhya,3
AKWANY,luhya,3
AKWANYA,luhya,1
AKWARO,kisii,3
AKWENDA,luhya,3
AKWERA,luo,3
AKWEVETA,taita,2
AKWEYU,teso,1
AKWIR,luo,2
AKWISELA,luhya,3
AKWONI,luhya,3
AKWOYO,luhya,1
ALABA,luhya,1
ALADARO,luhya,2
ALADI,luhya,3
ALAI,luo,1
ALAIN,christian,3
ALAKA,kisii,3
ALAKONYA,luhya,3
ALALA,luo,1
ALAMA,swahili,3
ALAMISI,luhya,2
ALANDA,luo,2
ALANGO,luo,3
ALANYA,luhya,2
ALANYNGOLE,kalenjin,1
ALAPUS,teso,3
ALARO,luo,3
ALASI,luhya,3
ALATI,luhya,3
ALAVUDIDI,luhya,1
ALEGANA,luhya,3
ALEKA,luhya,3
ALEKO,luo,3
ALEKUNYANG,turkana,1
ALELE,luo,2
ALEMBA,luo,2
ALEMBI,luhya,3
ALEMO,luhya,2
ALEMRENG,turkana,2
ALEMUNYANG,turkana,1
ALENYO,luhya,2
ALEPENGIMOE,teso,3
ALEPER,teso,2
ALERA,luhya,3
ALERI,luo,1
ALEXANDER,christian,3
ALFONZI,luhya,2
ALFUNZI,luhya,3
ALI,muslim,3
ALIARO,luhya,3
ALIBHAI,teso,1
ALICE,christian,3
ALIDHAI,kalenjin,3
ALIDI,luhya,2
ALIELO,kisii,3
ALIERO,luo,2
ALIET     Q ',teso,2
ALIGULA,luhya,3
ALIM,luo,3
ALIMA,luhya,3
ALIMASI,swahili,3
ALIMI,luhya,3
ALIMOHAMED,muslim,3
ALINDA,luhya,2
ALINDI,luhya,1
ALINGI,luo,3
ALINGO,luhya,2
ALINYO,luhya,1
ALIONA,luhya,1
ALIONGO,turkana,1
ALIONYA,basuba,2
ALISENDERI,christian,3
ALITU,luhya,1
ALIUSA,luhya,3
ALIVIDZA,luhya,1
ALIVILA,luhya,2
ALIVITSA,luhya,3
ALIWAH,luo,2
ALIYOW,gabra,2
ALKIO,christian,3
ALKIZIM,,
ALLEGO,luo,3
ALLI,muslim,3
ALMASI,swahili,3
ALOBA,luhya,2
ALOIS,turkana,1
ALOISE,christian,3
ALOKET,turkana,3
ALOKILES,teso,1
ALOKWAN,turkana,2
ALOMBA,luo,3
ALONGA,luo,3
ALONYALA,luhya,3
ALOO,luo,3
ALOO        ',luo,3
ALOTI,luo,3
ALOTUKOI,turkana,2
ALOVA,luhya,1
ALOYI,luo,3
ALOYO,luo,3
ALPHANOS,christian,3
ALPHONCE,christian,3
ALUBAI,teso,2
ALUBAKA,luhya,3
ALUBE,luhya,1
ALUBOKHO,luhya,3
ALUCHERI,kisii,2
ALUCHIO,luhya,3
ALUDA,luo,2
ALUDAH,luhya,3
ALUDO,luo,3
ALUGAYA,luhya,2
ALUIGA,luhya,3
ALUKHAMBA,luhya,3
ALUKO,luhya,1
ALUKONGO,luhya,2
ALUKOYE,luhya,2
ALUKU,luo,2
ALUKULEM,teso,1
ALUKUMU,luhya,3
ALUKWE,luhya,3
ALULA,luo,3
ALULU,luhya,1
ALUMA,luo,1
ALUMADU,luhya,3
ALUMALI,luhya,3
ALUMANYA,luhya,3
ALUMASI,luhya,3
ALUMAZA,luhya,2
ALUMERA,luhya,3
ALUNG'AVA,luhya,3
ALUNGO,luo,1
ALUNGOLI,luhya,1
ALUNYA,luhya,3
ALUOR,luo,1
ALUORA,luo,3
ALURU,luo,3
ALUSA,luhya,3
ALUSALA,luhya,3
ALUSE,luhya,1
ALUSEKHE,luhya,2
ALUSUMBA,luhya,2
ALUTA,luhya,3
ALUVALA,luhya,3
ALUVANGA       M,luhya,2
ALUVI,luhya,1
ALUVIS IA,luhya,3
ALUVISIA,luhya,3
ALWALE,luhya,3
ALWALO,luhya,1
ALWANG'A,luhya,3
ALWANYI,kisii,3
ALWAR,luo,3
ALWENDA,luhya,3
ALWIGA,luhya,3
ALWODI,luo,2
ALWORA,luhya,3
ALYUBA,luhya,3
AMABIA,luhya,1
AMABUGHULI,luhya,1
AMACHAR,teso,3
AMADADI,luhya,3
AMADARO,turkana,2
AMADI,luhya,3
AMADIVA,luhya,3
AMAGOYE,luhya,3
AMAI,luhya,3
AMAITSA,luhya,3
AMAKADIA,luhya,3
AMAKATA,luhya,1
AMAKHALA,luhya,3
AMAKOBE,luo,2
AMALA,,
AMALASA,luhya,2
AMANANGOLE,luhya,3
AMANGALIAS,luhya,3
AMANGARIA,luhya,3
AMANIT,hindu,1
AMANJI,luhya,3
AMARA,luhya,3
AMAREH,turkana,2
AMARIATI,teso,3
AMARUK,suk,3
AMARUKWANI,teso,1
AMASIMBI,luhya,3
AMASINDE,luhya,3
AMASONGOLE,luhya,3
AMASWACHE,luhya,3
AMATANG'U,luhya,3
AMATANGU,luhya,3
AMATETE,luhya,1
AMATI,luhya,3
AMATIEKU,luhya,3
AMATONGOLO,luhya,3
AMATSILI,luhya,3
AMATTA,luhya,3
AMAYA,luhya,3
AMAYAYI,luhya,3
AMAYENZE,luhya,3
AMBADE,kisii,1
AMBAJO,luhya,3
AMBAKA,luhya,3
AMBALA,luhya,2
AMBALALE,luhya,3
AMBALLA,luo,3
AMBANE,luhya,3
AMBANI,teso,2
AMBARE,luhya,2
AMBASA,luhya,2
AMBASI,luhya,1
AMBASU,luhya,2
AMBAYISI,luhya,1
AMBEDE,luhya,1
AMBEHEZE,luhya,3
AMBELA,luhya,2
AMBEMBO,luhya,2
AMBENCHE,kisii,3
AMBENGE,luhya,3
AMBENJE,luhya,3
AMBESA,kisii,3
AMBETSA,luhya,3
AMBIA,luhya,3
AMBIAKALE,luhya,3
AMBICHI,luhya,3
AMBILA,luhya,1
AMBISO,luhya,1
AMBITHO,luo,3
AMBITSI,luhya,3
AMBOGA,luhya,2
AMBOGO,kisii,3
AMBOHA,luhya,1
AMBOKA,kisii,2
AMBOKA        W,luhya,3
AMBOKO,luo,2
AMBOLE,luhya,3
AMBONGO,luhya,3
AMBOSA,kisii,2
AMBROS,christian,3
AMBUCHE,luhya,3
AMBUGA,kisii,3
AMBUJO,luhya,1
AMBULI,luhya,3
AMBULIKA,luo,2
AMBULITSA,luhya,3
AMBULWA,luhya,3
AMBUNDA,luhya,3
AMBUNDU,luhya,2
AMBUNYA,luhya,3
AMBURA,kisii,1
AMBUSA,luhya,3
AMBUSO,luhya,1
AMBUTSI,luhya,2
AMBWA,luhya,2
AMBWERE,kisii,3
AMBWEREE,luhya,3
AMECHA,luhya,2
AMEKA,luhya,2
AMEKWIYA,luhya,2
AMELENGIRO,teso,2
AMEMO,luhya,2
AMENDA,luo,2
AMENGE,luhya,2
AMENY,luo,3
AMENYA M,luo,3
AMER,teso,3
AMERIKOK,teso,3
AMEYAN,masai,3
AMEYO,luhya,2
AMHANDA,luhya,3
AMIANDA,luhya,3
AMIENO,luo,3
AMIHANDA,luhya,1
AMIMO,luo,3
AMINA,swahili,2
AMINDA,luo,3
AMING'A,luhya,1
AMINGA,luhya,2
AMINGO,luo,1
AMINO,luo,2
AMIR,muslim,3
AMIRA,somali,2
AMIRI,swahili,3
AMISI,nubi,2
AMITO,luo,2
AMODONGOLE,luhya,3
AMOI,teso,2
AMOKAA,,
AMOKHAYA,luhya,2
AMOKHULA,kisii,3
AMOKO,luhya,2
AMOKOLA,luhya,3
AMOLA,luo,1
AMOLER,teso,3
AMOLO,luo,3
AMONDE,luhya,2
AMONDO,luo,1
AMONGA,luhya,1
AMONGO,luo,3
AMONIKONO,teso,2
AMONYELA,luhya,1
AMOOR,luo,3
AMORI,luo,3
AMOYI,luhya,3
AMPANI,masai,3
AMRANI,luhya,1
AMUDAVI,luhya,3
AMUDWAI,luhya,2
AMUGAHIA,luhya,1
AMUGANGA,luhya,3
AMUGITSI,luhya,2
AMUGONGO,kisii,3
AMUGUNE,luhya,3
AMUGUNI,luhya,3
AMUHAYA,luhya,1
AMUHONDA,luhya,3
AMUJABI,luhya,3
AMUKA,luhya,2
AMUKANGA,luhya,1
AMUKATI,luhya,3
AMUKAYIA,luhya,3
AMUKET,kalenjin,3
AMUKHALE,luhya,3
AMUKHAY,luhya,3
AMUKHONO,luhya,3
AMUKHOYE,luhya,3
AMUKHULA,luhya,3
AMUKHUMA,luhya,1
AMUKOA,luhya,3
AMUKOBE,luhya,1
AMUKOBOLE,luhya,3
AMUKOCHE,kisii,3
AMUKOHA,luhya,3
AMUKOKHA,luhya,3
AMUKONA,kisii,1
AMUKONGO,luhya,1
AMUKONYOLE,luhya,2
AMUKOTE,luhya,3
AMUKOYA,luhya,1
AMUKOYE,luhya,1
AMUKULLAH,luhya,1
AMUKUMA,luhya,1
AMULALO,luhya,3
AMULAVU,luhya,3
AMULEGA,luhya,3
AMULI,luhya,3
AMULIA,luhya,3
AMULUNDU,luhya,3
AMUMA,luhya,3
AMUMGWE,luhya,2
AMUMI,luhya,2
AMUNA,luo,1
AMUNGA,kisii,2
AMUNYA,luhya,3
AMUNYOLO,luhya,3
AMUNZE,luhya,2
AMUOM,luo,3
AMUOM          A,luo,3
AMUOMA,kisii,3
AMUR,rendile,2
AMURASA,luhya,3
AMURONO,luhya,3
AMURUON,teso,3
AMUSALIA,luhya,3
AMUSAVA,luhya,2
AMUSAVI,luhya,1
AMUTABI,luhya,3
AMUTALA,luhya,3
AMUTAMA,luhya,3
AMUTANA,luhya,3
AMUTETE,luhya,3
AMUTON,turkana,2
AMUTSA,luhya,3
AMUTSE,luhya,3
AMWAMA,luhya,3
AMWANYI,luhya,1
AMWATA,luhya,3
AMWAYI,luhya,3
AMWAYO,luhya,1
AMWOGA,luhya,3
AMWOKA,luhya,1
AMWOMA,kisii,1
AN'GAIRA,luhya,3
ANAAM,luo,3
ANABA,luhya,2
ANABAICHA,luhya,3
ANABWANI,luhya,3
ANAGANJE,luhya,3
ANAHOLI,luhya,3
ANAKADA,luhya,2
ANAKALA,luhya,3
ANAKOLI,luhya,3
ANAMANDA,swahili,2
ANAMI,luhya,3
ANAMILA,luhya,3
ANAMPIU,meru,3
ANAMWETSA,luhya,3
ANANG'A,luo,3
ANANILA,luo,2
ANCHINGA,kisii,1
ANCHURA,kisii,3
ANDABWA,luhya,2
ANDAFU,luhya,3
ANDAGO,luo,3
ANDAJE,luhya,3
ANDAKHALWA,luhya,3
ANDALIA,luhya,2
ANDAMA,luhya,3
ANDANAS,luhya,3
ANDANDE,luhya,2
ANDANGIO,luhya,1
ANDANGO,luo,2
ANDANJE,luhya,3
ANDANYI,luhya,2
ANDAR,luo,3
ANDARE,kisii,1
ANDARI,kisii,1
ANDATI,luhya,3
ANDAWA,mijikenda,2
ANDAYE,luhya,1
ANDAYI,luhya,3
ANDEBE,luhya,3
ANDECHE,luhya,1
ANDECHO,luhya,3
ANDEFWA,luhya,3
ANDEKA,luhya,3
ANDEMBE,luhya,1
ANDENYI,luhya,3
ANDERA,luhya,2
ANDEREA,christian,3
ANDERSON,exotic,3
ANDESO,luhya,3
ANDETE,kisii,3
ANDHOGA,luo,3
ANDHOGO,luo,2
ANDIANG,teso,2
ANDIAZI,luhya,3
ANDIBA,luhya,3
ANDIEDIE,luhya,3
ANDIEGO,luhya,3
ANDIEKO,luhya,3
ANDIEMA,luhya,2
ANDIMA,luhya,1
ANDIMI,luhya,3
ANDIMU,luhya,3
ANDIRA,luo,2
ANDISENI,meru,2
ANDITI,luo,3
ANDIWO,luhya,3
ANDOLA,kisii,1
ANDOLO,luhya,3
ANDOLY,luhya,3
ANDOM,turkana,1
ANDREA,christian,3
ANDRIANO,christian,3
ANDUGA,luhya,2
ANDURU,luhya,3
ANDWAK,luo,3
ANEKEYA,maasai,1
ANEKHA,luhya,3
ANELOKO,luhya,3
ANEMBA,luhya,3
ANENE,luo,1
ANEYAH,luhya,3
ANEYE,luhya,1
ANG'AHA,kisii,1
ANG'ANG'O,luo,2
ANG'ANO,kisii,1
ANG'ANYA,luhya,3
ANG'ASA,luhya,3
ANG'ATA,kisii,1
ANG'AWA,luo,3
ANG'AYO,luhya,2
ANG'EDI,luo,3
ANG'IENDA,luo,3
ANG'WECH,luo,2
ANGAGA,luhya,3
ANGAHA,luhya,2
ANGAHYA,luhya,3
ANGARA,luhya,3
ANGASA,kisii,2
ANGASHA,luhya,2
ANGATE,luhya,2
ANGATIANI,kisii,2
ANGAVIA,luhya,1
ANGAYIA,luhya,3
ANGAYO,luhya,1
ANGEGO,luo,3
ANGEHI,luhya,3
ANGELINE,christian,3
ANGENY,kisii,3
ANGERE,kisii,1
ANGERO,luhya,1
ANGESA,luhya,1
