Surname,Predicted,True,Correct
CHEPKECH,kalenjin,kalenjin,1
MUTAI,kalenjin,kalenjin,1
CHELANG'AT,kalenjin,kalenjin,1
KEMBOI,kalenjin,kalenjin,1
ROTICH,kalenjin,kalenjin,1
TUEI,kalenjin,kalenjin,1
CHEPKEMOI,kalenjin,kalenjin,1
RONO,kalenjin,kalenjin,1
KORIR,kalenjin,kalenjin,1
CHURUIYOT,kalenjin,kalenjin,1
KIPROTICH,kalenjin,kalenjin,1
KIRWA,kalenjin,kalenjin,1
LANGAT,kalenjin,kalenjin,1
SIWARENG,kalenjin,kalenjin,1
TANUI,kalenjin,kalenjin,1
BETT,kalenjin,kalenjin,1
KEMBOI,kalenjin,kalenjin,1
KIPROP,kalenjin,kalenjin,1
KIPLIMO,kalenjin,kalenjin,1
KIPLIMO,kalenjin,kalenjin,1
KIPLIMO,kalenjin,kalenjin,1
RUTO,kalenjin,kalenjin,1
KOMEN,kalenjin,kalenjin,1
MARSOI,kalenjin,kalenjin,1
WANGARI,kikuyu,kalenjin,0
AJIKWA,kalenjin,kalenjin,1
LOTAI,kalenjin,kalenjin,1
CHILIKONG,kalenjin,kalenjin,1
KIRUI,kalenjin,kalenjin,1
KITUR,kalenjin,kalenjin,1
ABETAH,kalenjin,kalenjin,1
BARIWOS,kalenjin,kalenjin,1
CHEPKEMOI,kalenjin,kalenjin,1
CHEPKORIR,kalenjin,kalenjin,1
CHEPKWONY,kalenjin,kalenjin,1
KIPTON,kalenjin,kalenjin,1
KIPLIMO,kalenjin,kalenjin,1
NGETICH,kalenjin,kalenjin,1
CHEMANDA,kalenjin,kalenjin,1
MUNYUNY,kalenjin,kalenjin,1
CHERUIYOT,kalenjin,kalenjin,1
CHIRCHIR,kalenjin,kalenjin,1
KIPTOO,kalenjin,kalenjin,1
KIRUI,kalenjin,kalenjin,1
KOECH,kalenjin,kalenjin,1
TUWEI,kalenjin,kalenjin,1
KIPTUYA,kalenjin,kalenjin,1
JEROP,kalenjin,kalenjin,1
NGETICH,kalenjin,kalenjin,1
CHEBET,kalenjin,kalenjin,1
KIRUI,kalenjin,kalenjin,1
LANGAT,kalenjin,kalenjin,1
MARU,kalenjin,kalenjin,1
CHEROP,kalenjin,kalenjin,1
WEKESA,luhya,kalenjin,0
KIRUI,kalenjin,kalenjin,1
LIMO,kalenjin,kalenjin,1
CHALANG,luhya,kalenjin,0
TOO,kalenjin,kalenjin,1
CHERUIYOT,kalenjin,kalenjin,1
MADASIA,kalenjin,kalenjin,1
KIPSANG,kalenjin,kalenjin,1
KIPLAGAT,kalenjin,kalenjin,1
CHERIYOT,kalenjin,kalenjin,1
MIBEI,kalenjin,kalenjin,1
NGETICH,kalenjin,kalenjin,1
NGURIANYANG,kalenjin,kalenjin,1
ALALAM,luhya,kalenjin,0
KITUI,kamba,kalenjin,0
LANGAT,kalenjin,kalenjin,1
CHERUYOT,kalenjin,kalenjin,1
BOMER,kalenjin,kalenjin,1
BII,kalenjin,kalenjin,1
LINUS,kalenjin,kalenjin,1
ROTICH,kalenjin,kalenjin,1
KODGEI,kalenjin,kalenjin,1
LANGAT,kalenjin,kalenjin,1
KIRUI,kalenjin,kalenjin,1
KIPTUM,kalenjin,kalenjin,1
CHEMUTAI,kalenjin,kalenjin,1
KOECH,kalenjin,kalenjin,1
CHEBICHI,kalenjin,kalenjin,1
SIELE,kalenjin,kalenjin,1
CHEPYEGON,kalenjin,kalenjin,1
KIMETO,kalenjin,kalenjin,1
KIRUI,kalenjin,kalenjin,1
CHELANGAT,kalenjin,kalenjin,1
KENDA,kalenjin,kalenjin,1
CHEPCHIENG,kalenjin,kalenjin,1
KOSKEI,kalenjin,kalenjin,1
CHERUYOT,kalenjin,kalenjin,1
KOMEN,kalenjin,kalenjin,1
CHEPKIRIR,kalenjin,kalenjin,1
KEMBOI,kalenjin,kalenjin,1
CHELANGAT,kalenjin,kalenjin,1
CHEPKWONY,kalenjin,kalenjin,1
CHIPONGONI,kalenjin,kalenjin,1
TEGAT,kalenjin,kalenjin,1
RUTO,kalenjin,kalenjin,1
BIWOTT,kalenjin,kalenjin,1
SITIENEI,kalenjin,kalenjin,1
KOECH,kalenjin,kalenjin,1
WANZAA,kamba,kamba,1
MAWEU,kamba,kamba,1
MBITHE,kamba,kamba,1
MUTUA,kamba,kamba,1
KANZI,kamba,kamba,1
MUTAVE,kamba,kamba,1
NDUNGU,kikuyu,kamba,0
KIOKO,kamba,kamba,1
NZEMBI,kamba,kamba,1
KIMONDI,kamba,kamba,1
SWALEH,luhya,kamba,0
MWENDE,kamba,kamba,1
KIMUYU,kikuyu,kamba,0
WAMBUA.,kamba,kamba,1
KILUNDA,kamba,kamba,1
MUENI,kamba,kamba,1
KIOKO,kamba,kamba,1
MUTUA,kamba,kamba,1
MUTUKU,kamba,kamba,1
WANZIA,kamba,kamba,1
NDUKO,kamba,kamba,1
MAWIA,kamba,kamba,1
MUINDE,kamba,kamba,1
KYENZE,kamba,kamba,1
MWENDE,kamba,kamba,1
MUNYAO,kamba,kamba,1
MUIA,kikuyu,kamba,0
MASESI,kamba,kamba,1
MASILA,kamba,kamba,1
MUTUA,kamba,kamba,1
MBULA,kamba,kamba,1
MUTISYA,kamba,kamba,1
MUTINDA,kamba,kamba,1
MALEU,kamba,kamba,1
MBULA,kamba,kamba,1
CHAMA,kamba,kamba,1
MUASIA,kamba,kamba,1
NTHAMBI,meru,kamba,0
MUSYOKI,kamba,kamba,1
KAMENE,kamba,kamba,1
MALONZA,kamba,kamba,1
MUSYOKI,kamba,kamba,1
MUTISYA,kamba,kamba,1
WAYUA,kamba,kamba,1
MWENI,kamba,kamba,1
MUTUA,kamba,kamba,1
KATUMO,kamba,kamba,1
SYOKI,kamba,kamba,1
NDENGA,kamba,kamba,1
MUNYAO,kamba,kamba,1
MULANDI,kamba,kamba,1
DAVID,kamba,kamba,1
MATINGE,kamba,kamba,1
MAWEA,kamba,kamba,1
KINYOMO,kamba,kamba,1
MULWA,kamba,kamba,1
NGULI,kamba,kamba,1
MBAI,kamba,kamba,1
MUTHENI,kamba,kamba,1
NAMAI,luhya,kamba,0
KAVATA,kamba,kamba,1
MUTUKU,kamba,kamba,1
MOKEBE,kisii,kamba,0
MUTINDA,kamba,kamba,1
MWONGELI,taita,kamba,0
KIOKO,kamba,kamba,1
KATHEKE,kamba,kamba,1
MBWIKA,meru,kamba,0
MOSYOKA,kamba,kamba,1
WAMBUA,kamba,kamba,1
MWIKALI,kamba,kamba,1
WAMBUA,kamba,kamba,1
MUTHUI,kamba,kamba,1
MWANZIA,kamba,kamba,1
KATUNGE,kamba,kamba,1
MASILA,kamba,kamba,1
MULWA,kamba,kamba,1
WAMBUA,kamba,kamba,1
MUGOSI,kamba,kamba,1
SILA,luhya,kamba,0
MOKI,kamba,kamba,1
MUTHAMI,kamba,kamba,1
KANGWE,kamba,kamba,1
MWENDWA,kamba,kamba,1
MBUVI,kamba,kamba,1
KATITU,kamba,kamba,1
MBINDYO,kamba,kamba,1
MIKE,kamba,kamba,1
MWASYIA,kamba,kamba,1
KIEMA,kamba,kamba,1
LENAH,maasai,kamba,0
MWIKALI,kamba,kamba,1
KALUKI,kamba,kamba,1
KANINI,kamba,kamba,1
TERESIA,kamba,kamba,1
MATIMO,kamba,kamba,1
MUTISO,kamba,kamba,1
MAWIYA,kamba,kamba,1
WANZA,kamba,kamba,1
MASILA,kamba,kamba,1
SHELAMIN,kamba,kamba,1
MULI,kamba,kamba,1
KYALA,kamba,kamba,1
NDAMBUI,kamba,kamba,1
MUANGE,kamba,kamba,1
KYALO,kamba,kamba,1
MUTIA,kamba,kamba,1
MWILU,kamba,kamba,1
MULAA,kamba,kamba,1
MWENDE,kamba,kamba,1
MUSYOKA,kamba,kamba,1
MUTUNGA,kamba,kamba,1
MUMBU,kamba,kamba,1
MWENI,kamba,kamba,1
NGONYO,kamba,kamba,1
MULEI,kamba,kamba,1
MUMBUA,kamba,kamba,1
MWANIA,kamba,kamba,1
KOKA,luhya,kamba,0
MUTIA,kamba,kamba,1
MUTINDI,kamba,kamba,1
KANENE,kikuyu,kamba,0
WAYUA,kamba,kamba,1
MALII,kamba,kamba,1
KAVENGI,kamba,kamba,1
SYOKAO,kamba,kamba,1
MUTHANU,kamba,kamba,1
MWANGI,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
NGONDU,kikuyu,kikuyu,1
WAMBOI,kikuyu,kikuyu,1
NJOROGE,kikuyu,kikuyu,1
OCHIENG,luo,kikuyu,0
WANGARE,kikuyu,kikuyu,1
MURAYA,kikuyu,kikuyu,1
MAINA,kikuyu,kikuyu,1
THAIRU,kikuyu,kikuyu,1
MBURU,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
KABUTI,kikuyu,kikuyu,1
MUIRURI,kikuyu,kikuyu,1
NJANJA,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
GITAU,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
WAMBUI,kikuyu,kikuyu,1
MOHAMMED,somali,kikuyu,0
WACEKE,kikuyu,kikuyu,1
WAMUCI,kikuyu,kikuyu,1
NJUGUNA,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
NJERI,kikuyu,kikuyu,1
WANJA,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
SOBA,luo,kikuyu,0
NJENGA,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
MUERU,kikuyu,kikuyu,1
NJOKI,kikuyu,kikuyu,1
NYAGAH,kikuyu,kikuyu,1
WAMBUI,kikuyu,kikuyu,1
WANGARE,kikuyu,kikuyu,1
WANGUI,kikuyu,kikuyu,1
WACHIRWA,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
NDIRANGU,kikuyu,kikuyu,1
WAIGWA,kikuyu,kikuyu,1
NJUGUNA,kikuyu,kikuyu,1
NJERI,kikuyu,kikuyu,1
WANGARE,kikuyu,kikuyu,1
KIMANI,kikuyu,kikuyu,1
KIMANI,kikuyu,kikuyu,1
NJOROGE,kikuyu,kikuyu,1
WAMBUI,kikuyu,kikuyu,1
NJERI,kikuyu,kikuyu,1
NJOROGE,kikuyu,kikuyu,1
NYAMBURA,kikuyu,kikuyu,1
WARIGIA,kikuyu,kikuyu,1
MUTHONI,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
NDUNGU,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
MUTHONI,kikuyu,kikuyu,1
WAHU,kikuyu,kikuyu,1
WAMBUI,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
MBURU,kikuyu,kikuyu,1
MUGURE,kikuyu,kikuyu,1
HARON,kikuyu,kikuyu,1
MATHENGE,kikuyu,kikuyu,1
NDUNG'U,kikuyu,kikuyu,1
WAMBUI,kikuyu,kikuyu,1
WAMAGORO,kikuyu,kikuyu,1
KARIUKI,kikuyu,kikuyu,1
GITHINJI,kikuyu,kikuyu,1
MUGO,kikuyu,kikuyu,1
NDUKU,kamba,kikuyu,0
WANJIRU,kikuyu,kikuyu,1
CHEGE,kikuyu,kikuyu,1
MBURU,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
WAITHERA,kikuyu,kikuyu,1
KARIA,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
MUTHONI,kikuyu,kikuyu,1
MUGA,luhya,kikuyu,0
NGANGA,kikuyu,kikuyu,1
WANGUI,kikuyu,kikuyu,1
IRUNGU,kikuyu,kikuyu,1
MURANI,kikuyu,kikuyu,1
MWAURA,kikuyu,kikuyu,1
MWAURA,kikuyu,kikuyu,1
NYAMBURA,kikuyu,kikuyu,1
NDEGWA,kikuyu,kikuyu,1
KURIA,kikuyu,kikuyu,1
WAIRIMU,kikuyu,kikuyu,1
NJERI,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
KIRIMA,kikuyu,kikuyu,1
NJOKI,kikuyu,kikuyu,1
WANGUI,kikuyu,kikuyu,1
NJUGUNA,kikuyu,kikuyu,1
WARIGIA,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
MUTHONI,kikuyu,kikuyu,1
NGOIRI,kikuyu,kikuyu,1
WAIRIMU,kikuyu,kikuyu,1
NJERI,kikuyu,kikuyu,1
KIAMA,kikuyu,kikuyu,1
MAINA,kikuyu,kikuyu,1
WANJUGU,kikuyu,kikuyu,1
WAMASIE,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
IRURA,kikuyu,kikuyu,1
KANYUA,kikuyu,kikuyu,1
MURURI,kikuyu,kikuyu,1
NJUGUNA,kikuyu,kikuyu,1
ALEX,kikuyu,kikuyu,1
WANJERI,kikuyu,kikuyu,1
WANJIRA,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
KINYANJUI,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
NDUNG'U,kikuyu,kikuyu,1
MUTHONI,kikuyu,kikuyu,1
NYAMBURA,kikuyu,kikuyu,1
WACHERA,kikuyu,kikuyu,1
WANGARI,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
MURIITHI,kikuyu,kikuyu,1
KARANJA,kikuyu,kikuyu,1
GICHUHI,kikuyu,kikuyu,1
MBURU,kikuyu,kikuyu,1
MUNGA,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
CHEGE,kikuyu,kikuyu,1
KIRAGU,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
WARUINO,kikuyu,kikuyu,1
RUHIU,kikuyu,kikuyu,1
IRUNGU,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
NGUGI,kikuyu,kikuyu,1
GATHAI,kikuyu,kikuyu,1
MACHARIA,kikuyu,kikuyu,1
WAITHAKA,kikuyu,kikuyu,1
MAINA,kikuyu,kikuyu,1
CHEGE,kikuyu,kikuyu,1
WANGARI,kikuyu,kikuyu,1
WANJURU,kikuyu,kikuyu,1
WAMBUI,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
KIMANI,kikuyu,kikuyu,1
WOTHAYA,kikuyu,kikuyu,1
KAMERI,kikuyu,kikuyu,1
KARANJA,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
NGANGA,kikuyu,kikuyu,1
MUTEMA,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
GACHARA,kikuyu,kikuyu,1
GICHURU,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
MAINA,kikuyu,kikuyu,1
WAIHUBU,kikuyu,kikuyu,1
WANJOHI,kikuyu,kikuyu,1
MUTHONI,kikuyu,kikuyu,1
NDEGWA,kikuyu,kikuyu,1
GITHUI,kikuyu,kikuyu,1
MBUTHIA,kikuyu,kikuyu,1
MUNGA,kikuyu,kikuyu,1
MWAGI,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
NDIRANGU,kikuyu,kikuyu,1
WARUINGI,kikuyu,kikuyu,1
NJERI,kikuyu,kikuyu,1
CHEGE,kikuyu,kikuyu,1
MIANO,christian,kikuyu,0
NJOROGE,kikuyu,kikuyu,1
MBUTHIA,kikuyu,kikuyu,1
WAMBOI,kikuyu,kikuyu,1
KAMAMA,kikuyu,kikuyu,1
GAKIRIA,kikuyu,kikuyu,1
NGANGA,kikuyu,kikuyu,1
NJERI,kikuyu,kikuyu,1
WAITHIRA,kikuyu,kikuyu,1
MUTHONI,kikuyu,kikuyu,1
NYAMBURA,kikuyu,kikuyu,1
NJUGUNA,kikuyu,kikuyu,1
MUTHONI,kikuyu,kikuyu,1
NJERI,kikuyu,kikuyu,1
NGENDO,kikuyu,kikuyu,1
NYAKARUO,kikuyu,kikuyu,1
WANJUGU,kikuyu,kikuyu,1
NGULE,kikuyu,kikuyu,1
KAHIA,kikuyu,kikuyu,1
UPEPO,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
MAMA,luhya,kikuyu,0
NJERI,kikuyu,kikuyu,1
WAMBUI,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
KING'ORI,kikuyu,kikuyu,1
MUCHIRI,kikuyu,kikuyu,1
NJERU,kikuyu,kikuyu,1
KARAJA,kikuyu,kikuyu,1
GITHII,kikuyu,kikuyu,1
NJOROGE,kikuyu,kikuyu,1
GITAU,kikuyu,kikuyu,1
JUMA,mijikenda,kikuyu,0
MAINA,kikuyu,kikuyu,1
MAINA,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
NDIRANGU,kikuyu,kikuyu,1
GATONI,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
WANGUI,kikuyu,kikuyu,1
WACHIRA,kikuyu,kikuyu,1
NJERI,kikuyu,kikuyu,1
WANJIKU,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
MARUGI,kikuyu,kikuyu,1
MURIITHI,kikuyu,kikuyu,1
WAWERU,kikuyu,kikuyu,1
WANJOHI,kikuyu,kikuyu,1
KAMAU,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
MUNGAI,kikuyu,kikuyu,1
MBUTHIA,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
KARANJA,kikuyu,kikuyu,1
WAINAINA,kikuyu,kikuyu,1
WAMBOI,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
NYAMBURA,kikuyu,kikuyu,1
WANJIRU,kikuyu,kikuyu,1
MWENJA,luhya,kikuyu,0
NYAWIRA,kisii,kikuyu,0
WANGUI,kikuyu,kikuyu,1
IRUNGU,kikuyu,kikuyu,1
IRUNGU,kikuyu,kikuyu,1
GACHIRA,kikuyu,kikuyu,1
MWANIKI,kikuyu,kikuyu,1
MAINA,kikuyu,kikuyu,1
MWANGI,kikuyu,kikuyu,1
NJUGUNA,kikuyu,kikuyu,1
OGATO,luo,kisii,0
MAOBE,luo,kisii,0
BOSIBORI,kisii,kisii,1
KWAMBOKA,kisii,kisii,1
MORAA,kisii,kisii,1
MIRUKA,kisii,kisii,1
KEMUNTO,kisii,kisii,1
MONARI,kisii,kisii,1
MAKORI,kisii,kisii,1
MAYAKA,kisii,kisii,1
MORAA,kisii,kisii,1
NYABOKE,kisii,kisii,1
TABULA,luhya,kisii,0
MOFAT,kisii,kisii,1
AMORO,kisii,kisii,1
JOSEPH,christian,kisii,0
ONSONGO,kisii,kisii,1
ORENGE,luo,kisii,0
MOKEIRA,kisii,kisii,1
ONDARI,kisii,kisii,1
BISERA,kisii,kisii,1
KERUBO,kisii,kisii,1
ASURA,kisii,kisii,1
OMBONGI,kisii,kisii,1
ONYANGO,luo,kisii,0
KERUBO,kisii,kisii,1
OKINDO,kisii,kisii,1
MORAA,kisii,kisii,1
MORAA,kisii,kisii,1
KWAMBOKA,kisii,kisii,1
MAKORI,kisii,kisii,1
MORAN,kisii,kisii,1
BOSOBORI,kisii,kisii,1
NYABONYI,kisii,kisii,1
ORIEKO,kisii,kisii,1
OPIYO,luo,kisii,0
OKINDO,kisii,kisii,1
ANYONA,kisii,kisii,1
NYAMBARORA,kisii,kisii,1
OCHENGE,luo,kisii,0
MORAA,kisii,kisii,1
ONDIGI,luo,kisii,0
KERUBO,kisii,kisii,1
KERUBO,kisii,kisii,1
KWAMBOKA,kisii,kisii,1
ONDIEKI,kisii,kisii,1
MIRINA,kisii,kisii,1
MATINDURA,kikuyu,kisii,0
OGORO,kisii,kisii,1
MOSOTI,kisii,kisii,1
NAMORU,kisii,kisii,1
NYANCHMA,kisii,kisii,1
OMONDI,luo,kisii,0
OGUGU,luo,kisii,0
NYAKUNDI,kisii,kisii,1
BOSIBORI,kisii,kisii,1
MORAGWA,kisii,kisii,1
STEVE,christian,kisii,0
RUMBI,kisii,kisii,1
KEMUNTO,kisii,kisii,1
ONYANCHA,kisii,kisii,1
KERUBO,kisii,kisii,1
ATAMUS,kisii,kisii,1
MSCHOKA,kisii,kisii,1
KIYUKA,kisii,kisii,1
ONYANCHA,kisii,kisii,1
BOSIRE,kisii,kisii,1
OSOGO,luo,kisii,0
NDEGE,kikuyu,kisii,0
OYARO,luo,kisii,0
OMBURI,kisii,kisii,1
KERUBO,kisii,kisii,1
OKEMWA,kisii,kisii,1
MASITA,kisii,kisii,1
KEREU,kisii,kisii,1
NYAKUNDI,kisii,kisii,1
MAERA,kisii,kisii,1
MACHOKA,kisii,kisii,1
ANAYO,kisii,kisii,1
OTUGI,kisii,kisii,1
RANGE,kuria,kuria,1
MARWA,kuria,kuria,1
BOKE,luo,kuria,0
ROBI,luo,kuria,0
WANGURU,kuria,kuria,1
ANNEN,christian,kuria,0
MOKERERI,kisii,kuria,0
MWITA,kuria,kuria,1
MWITA,kuria,kuria,1
NGUMA,luo,kuria,0
ONSOMU,kuria,kuria,1
OMWANDE,luhya,luhya,1
ATNAS,luhya,luhya,1
TAKA,luhya,luhya,1
AGUVASU,luhya,luhya,1
MIDEVA,luhya,luhya,1
NAFULA,luhya,luhya,1
NAFULA,luhya,luhya,1
NAMASAKA,luhya,luhya,1
ALI,luhya,luhya,1
ZAINABU,luhya,luhya,1
CHEMILA,kalenjin,luhya,0
OMENDA,luo,luhya,0
APONDI,luhya,luhya,1
SIKARA,luhya,luhya,1
OPOTI,luhya,luhya,1
ANEKEA,luhya,luhya,1
MUGITA,luhya,luhya,1
AMBINDI,luhya,luhya,1
NASIMIYU,luhya,luhya,1
NASIMIYU,luhya,luhya,1
SHIKUKU,luhya,luhya,1
MUHONJA,luhya,luhya,1
AMANE,luhya,luhya,1
MUSIMBI,luhya,luhya,1
NANJALA,luhya,luhya,1
OKELO,luo,luhya,0
OPANGA,luhya,luhya,1
NYONGESA,luhya,luhya,1
SHANZI,luhya,luhya,1
BARASA,luhya,luhya,1
IMENZA,luhya,luhya,1
LWAMBI,luhya,luhya,1
AKINYI,luo,luhya,0
AGISA,luhya,luhya,1
KHASANDI,luhya,luhya,1
SHIRO,luhya,luhya,1
KASUKU,luhya,luhya,1
MKUVATISA,luhya,luhya,1
NYONGESA,luhya,luhya,1
NYONGESA,luhya,luhya,1
MUONJA,luhya,luhya,1
NASIMIYU,luhya,luhya,1
NASIMIYU,luhya,luhya,1
CLARE,luhya,luhya,1
NAFULA,luhya,luhya,1
AWINO,luo,luhya,0
OPETE,luhya,luhya,1
OWINO,luo,luhya,0
SALAMO,luhya,luhya,1
WAFULA,luhya,luhya,1
OUMA,luo,luhya,0
PULI,luhya,luhya,1
OMOLLO,luo,luhya,0
LIHANDA,luhya,luhya,1
KWABI,luhya,luhya,1
ANGOSA,luhya,luhya,1
KAYEKE,luhya,luhya,1
NAFULA,luhya,luhya,1
NAFULA,luhya,luhya,1
NAMACHANJA,luhya,luhya,1
SAKWA,luhya,luhya,1
MURIML,luhya,luhya,1
KIMILE,luhya,luhya,1
KENDA,kalenjin,luhya,0
HASSAN,muslim,luhya,0
WEKESA,luhya,luhya,1
MALONGO,luhya,luhya,1
LUGADA,luhya,luhya,1
NASABA,luhya,luhya,1
MASIBO,luhya,luhya,1
SHIUNDU,luhya,luhya,1
ISANDA,luhya,luhya,1
TAWAI,luhya,luhya,1
WEKESA,luhya,luhya,1
WEKESA,luhya,luhya,1
ANYIKA,luhya,luhya,1
MBINDIO,luhya,luhya,1
WERE,luhya,luhya,1
ONDIEKI,kisii,luhya,0
KISIANGANI,luhya,luhya,1
KISIANGANI,luhya,luhya,1
NAFUNA,luhya,luhya,1
NASIPONDI,luhya,luhya,1
MULWALE,luhya,luhya,1
WANYAMA,luhya,luhya,1
ODECHE,luhya,luhya,1
NAMALWA,luhya,luhya,1
NAMALWA,luhya,luhya,1
AMAGOVE,luhya,luhya,1
AGOSI,luhya,luhya,1
LIANDA,luhya,luhya,1
MESHACK,luhya,luhya,1
ADIKA,luhya,luhya,1
TERRA,luhya,luhya,1
MUSILA,kamba,luhya,0
WACHIE,luhya,luhya,1
LUMASAI,luhya,luhya,1
KAWERE,luhya,luhya,1
IMINZA,luhya,luhya,1
ATEMA,luhya,luhya,1
NYALIAKA,luhya,luhya,1
OMONDI,luo,luhya,0
WEKESA,luhya,luhya,1
ATILA,luhya,luhya,1
WASIKE,luhya,luhya,1
WASIKE,luhya,luhya,1
KEMOLI,luhya,luhya,1
ADESA,luhya,luhya,1
KEMBOI,kalenjin,luhya,0
MUSIMBI,luhya,luhya,1
NAPOLIA,luhya,luhya,1
ANITA,luhya,luhya,1
ACHOTE,luo,luhya,0
AUMA,luo,luhya,0
JORAM,luhya,luhya,1
KIRASI,luhya,luhya,1
NEKESA,luhya,luhya,1
BARASA,luhya,luhya,1
OUMA,luo,luhya,0
AMBULI,luhya,luhya,1
NASIMIYU,luhya,luhya,1
NASUMA,luhya,luhya,1
OHONGO,luhya,luhya,1
ASIYA,luhya,luhya,1
MAKHARA,luhya,luhya,1
SAYO,luhya,luhya,1
BETH,luhya,luhya,1
LUDENDO,luhya,luhya,1
TELLA,luhya,luhya,1
KIVA,kamba,luhya,0
