SURNAME,TRIBE/ETHNIC GROUP,RA Confidence Level
KAHUKO,kikuyu,1
WEKESA,luhya,3
MUSA,swahili,3
AYIEKO,luo,1
MUSIAMA,kamba,1
NJOROGE,kikuyu,3
MWATHI,kikuyu,3
DUME,swahili,1
BANDE,mijikenda,1
LEWAH,masai,1
NDURYA,mijikenda,2
MWANGU,embu,2
MUREITHI,kikuyu,3
KAZUNGU,taita,3
FRANCIS,,
NJERI,kikuyu,2
NDUNGE,kamba,3
MBAYI,tharaka,2
CHOMBA,meru,1
MUTAVI,kamba,3
MOTO,swahili,2
KIRATU,meru,2
FUNGIZA,taita,2
AMBOKA,luhya,2
NDORO,kikuyu,1
OBONDO,luo,2
KAGIA,kikuyu,3
GACHARA,meru,2
SEWE,Luhya,1
ANAMI,teso,1
KIBANDI,swahili,2
GALGALO,mijikenda,2
MWANJELE,mijikenda,1
MONGO,taita,1
GITHIRA,kikuyu,1
MUGUONGO,taita,1
KITI,teso,1
MWAMBELA,taita,1
MKALINDI,mijikenda,1
MWAGOGWE,swahili,2
MWANDORO,taita,2
MWAWAKO,taita,1
NDOLOKA,mijikenda,1
KAVUU,kamba,3
YERE,borana,1
FONDO,basuba,1
ABDILLE,SOMALI,2
ADAN,SOMALI,2
EDHOW,SOMALI,2
ABDI,swahili,3
BULLE,SOMALI,2
NUR,SOMALI,1
ALI,swahili,3
YUNIS,SOMALI,1
GURHAN,SOMALI,2
MOHUMED,arab,2
SHEIKH,arab,2
ADEN,arab,2
KANYOLO,taita,2
YARSO,mijikenda,1
ABDIO,mijikenda,1
ABDIRAHMAN,arab,2
YUSSUF,arab,2
OMAR,swahili,1
ABDULKADIR,swahili,2
DIIS,swahili,2
ELMI,mijikenda,1
OLOW,SOMALI,1
BILLE,SOMALI,2
JILAOW,SOMALI,2
DAHIR,SOMALI,2
ABBEY,SOMALI,1
GEDI,SOMALI,2
MOHAMED,swahili,1
HASEI,SOMALI,1
FARAH,SOMALI,2
DAKAT,SOMALI,1
MOHAMUD,swahili,1
IBRAHIM,arab,1
OMBISA,luhya,1
HAJI,swahili,1
ABDULLAHI,swahili,3
MURITHI,kikuyu,3
ABDOW,SOMALI,2
MADLE,taita,1
GALABE,taita,1
ISSACK,SOMALI,1
ABDALLA,swahili,
DAGANE,mijikenda,1
ODHAI,mijikenda,1
DEGOW,SOMALI,1
HASSAN,arab,2
SAHAL,SOMALI,1
